="Industry: 1 Total"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="31812.1694***",="31693.7240***",="38546.6471***",="33956.5531***"
="",="(5650.2766)",="(4894.1966)",="(6336.3493)",="(5743.6702)"

="NewValue_{t-1} (L1)",="-6690.3146",="-4562.1736",="-2719.1843",="4717.8864"
="",="(6470.7571)",="(4340.1241)",="(9292.2215)",="(6006.4266)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 2 Mining"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="8465.7575**",="15507.1432***",="12307.0369***",="16932.2680***"
="",="(4044.9088)",="(4008.6618)",="(3008.1572)",="(5110.6165)"

="NewValue_{t-1} (L1)",="-4532.3525",="-5584.1812**",="-6512.6182***",="-898.0875"
="",="(3139.0123)",="(2371.3118)",="(2422.9838)",="(4820.6945)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 3 Transport"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="5621.2979***",="5393.9775***",="5447.5392***",="7980.1410***"
="",="(1612.1023)",="(1122.9948)",="(1289.5483)",="(1791.0764)"

="NewValue_{t-1} (L1)",="-233.6628",="-657.5239",="1211.3062",="2141.7352"
="",="(1323.0712)",="(751.5858)",="(1802.1927)",="(2051.5454)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 4 Construct"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="1471.3754",="1073.4636**",="2710.0295**",="4304.3549***"
="",="(1008.6237)",="(543.3292)",="(1072.7446)",="(1243.6879)"

="NewValue_{t-1} (L1)",="-17.6304",="-642.9717",="522.7852",="-75.1898"
="",="(1505.5249)",="(626.4525)",="(2028.0954)",="(1626.1767)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 5 Manufact"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="-902.7320",="-938.8617***",="-1410.2350**",="-758.1028"
="",="(1711.8672)",="(324.4877)",="(563.2838)",="(839.3999)"

="NewValue_{t-1} (L1)",="1517.3353",="936.6045*",="-89.1353",="-17.9674"
="",="(1538.1897)",="(565.9526)",="(786.8311)",="(1222.5593)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 6 Educ/Health"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="221.0719",="389.2757**",="374.4959",="-1255.2329"
="",="(482.1556)",="(180.3305)",="(384.1809)",="(1871.2108)"

="NewValue_{t-1} (L1)",="-425.1267",="-298.8322",="-210.9242",="282.8440"
="",="(535.4500)",="(207.6989)",="(338.5585)",="(2313.6501)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: 8 Other Services"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="2846.3629***",="2747.5179***",="3621.5129***",="3227.2515***"
="",="(700.8198)",="(616.9773)",="(1099.0225)",="(737.9740)"

="NewValue_{t-1} (L1)",="86.3702",="646.7403",="1083.4549",="923.7659"
="",="(1069.5921)",="(912.4266)",="(1301.2940)",="(891.4491)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Industry: Government"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="655.0602",="586.4002",="2895.8771",="3525.8712"
="",="(1824.7744)",="(711.1614)",="(1861.8895)",="(5710.1755)"

="NewValue_{t-1} (L1)",="4896.6509**",="2309.7370***",="1834.6789",="2360.7875"
="",="(2017.1641)",="(705.9260)",="(1521.0676)",="(4858.5780)"

="N",="21546",="21546",="21546",="21546"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
