="QR + OLS: Total industry (all counties)"

="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.10",="Q0.50",="Q0.90",="OLS"

="NewValue_t (L0)",="31812.1694***",="31693.7240***",="38546.6471***",="33956.5531***"
="",="(5650.2766)",="(4894.1966)",="(6336.3493)",="(5743.6702)"

="NewValue_{t-1} (L1)",="-6690.3146",="-4562.1736",="-2719.1843",="4717.8864"
="",="(6470.7571)",="(4340.1241)",="(9292.2215)",="(6006.4266)"

="N",="21546",="21546",="21546",="21546"

="Two-way FE via Canay (2011). Bootstrap SE: 100 reps. No IV."
="* p<0.10, ** p<0.05, *** p<0.01"
